iter	Logloss
0	0.6105213583
1	0.5434293437
2	0.4869604646
3	0.441657593
4	0.4039235147
5	0.3720667368
6	0.3443131173
7	0.3184157775
8	0.3017967393
9	0.2879478112
10	0.2765027294
11	0.2631972446
12	0.2508436756
13	0.2407531348
14	0.2307273604
15	0.2220854045
16	0.2146930876
17	0.2088377142
18	0.2036920526
19	0.1996921962
20	0.1955998599
21	0.1919328139
22	0.188961069
23	0.1865437548
24	0.1842761911
25	0.1820521841
26	0.1801273974
27	0.178732502
28	0.1773952332
29	0.1760849807
30	0.1745511814
31	0.1734481769
32	0.172112822
33	0.1708097844
34	0.1696336895
35	0.1685751796
36	0.1676390758
37	0.1666661659
38	0.1658730602
39	0.1652344269
40	0.164606345
41	0.1640360875
42	0.1635469334
43	0.1629160556
44	0.1625836205
45	0.1621992381
46	0.1618951367
47	0.1613565762
48	0.1610035254
49	0.160676288
50	0.1601397244
51	0.1598034581
52	0.1595433021
53	0.159121822
54	0.158967834
55	0.1586872377
56	0.1584647557
57	0.1582963162
58	0.1581709849
59	0.1580194144
60	0.1576832459
61	0.1575190794
62	0.1572404233
63	0.1570761044
64	0.1568729898
65	0.1567091227
66	0.1563515699
67	0.1560323459
68	0.1558903717
69	0.1557506878
70	0.1555633244
71	0.1553247625
72	0.1553247379
73	0.1552362302
74	0.1550819894
75	0.1550716859
76	0.1549713371
77	0.1547113778
78	0.1545119322
79	0.1544587406
80	0.154391912
81	0.1542503973
82	0.1541294219
83	0.153965292
84	0.1538660136
85	0.1537749231
86	0.1535940656
87	0.1534450957
88	0.1530608424
89	0.1529345201
90	0.1526254191
91	0.1524851118
92	0.1524418439
93	0.1523334785
94	0.152193234
95	0.1521375836
96	0.1520371513
97	0.151831022
98	0.1515554991
99	0.151401344
100	0.1513386207
101	0.1512971244
102	0.1512251097
103	0.1511808889
104	0.1510659933
105	0.1509212254
106	0.1508244701
107	0.1507732591
108	0.1505595748
109	0.1503232919
110	0.1502541718
111	0.1501649933
112	0.1500963855
113	0.150078879
114	0.1499546415
115	0.1498621066
116	0.1497444421
117	0.1495532437
118	0.1493388435
119	0.1492493579
120	0.1491350461
121	0.1490486991
122	0.149048697
123	0.1489502443
124	0.1488318029
125	0.1487535698
126	0.1485766937
127	0.1484745016
128	0.1483549563
129	0.1482642892
130	0.1481341224
131	0.1480981856
132	0.1480354203
133	0.1479504204
134	0.1479286163
135	0.1477941629
136	0.1477405265
137	0.1476899384
138	0.1475317313
139	0.1473828175
140	0.1472974131
141	0.1472125515
142	0.1471463793
143	0.1470962332
144	0.1470440193
145	0.1469046179
146	0.146818258
147	0.1467457055
148	0.1467174465
149	0.1466437871
150	0.1465416745
151	0.1464719411
152	0.1463736822
153	0.1463200521
154	0.1462351117
155	0.1461389058
156	0.146087702
157	0.1459994769
158	0.1459113055
159	0.1458406117
160	0.1457811302
161	0.1456904275
162	0.1455606163
163	0.1455083533
164	0.1454848693
165	0.1454251759
166	0.1453708268
167	0.1452626393
168	0.1451460085
169	0.1450521686
170	0.1450150992
171	0.1449616367
172	0.144907431
173	0.1447668318
174	0.1446845458
175	0.1445937339
176	0.1445586733
177	0.144510119
178	0.1444848848
179	0.1444122956
180	0.1443569878
181	0.1443164963
182	0.1442733794
183	0.1441958382
184	0.1441269842
185	0.1440775554
186	0.1439885437
187	0.1439139034
188	0.1437712474
189	0.1437509288
190	0.1437193468
191	0.1436192598
192	0.1435422066
193	0.1434974224
194	0.1433544954
195	0.143306158
196	0.1432795333
197	0.1431734748
198	0.1431304895
199	0.1429917057
200	0.1429651877
201	0.1428893771
202	0.1428210976
203	0.1427609263
204	0.1426388629
205	0.1425883047
206	0.1425340732
207	0.1424704188
208	0.1424089535
209	0.1423758611
210	0.1422800625
211	0.1421707085
212	0.1420793515
213	0.1420204684
214	0.1419254837
215	0.1418342803
216	0.1418148055
217	0.1417417997
218	0.1416845323
219	0.1416013888
220	0.1415777806
221	0.1415502459
222	0.141438848
223	0.1413711158
224	0.1413317789
225	0.1412775465
226	0.1412561584
227	0.1411664429
228	0.14107275
229	0.1409402694
230	0.1409220262
231	0.1408980516
232	0.1408453366
233	0.140788455
234	0.1407621974
235	0.1406872534
236	0.1406424452
237	0.1405843004
238	0.1405110927
239	0.1403689969
240	0.1402891552
241	0.1402493351
242	0.1401581575
243	0.1401210641
244	0.1400607699
245	0.1400105155
246	0.1399634239
247	0.1399146213
248	0.1398744837
249	0.1398158113
250	0.1397493385
